model,layer,subject,rsa_All pairs,rsa_Both in RSR,rsa_One in RSR,rsa_Neither in RSR
mlm_control,4,M10,0.03804099861505753,0.027985424795923895,0.03341645992966728,0.04124281393290254
mlm_control,5,M01,-0.04905179036389315,-0.0643095279291058,-0.022872879471867294,-0.06959586142075895
mlm_control,5,M02,0.05629362765211929,0.09930715025394454,0.09133438081881423,0.006046017938086561
mlm_control,5,M03,0.003128061511313875,0.02146459625083606,-0.010469194796884145,0.0028577534661048936
mlm_control,5,M04,0.050351009483517006,0.12144150199713645,0.0705734169254914,0.019945673777080782
mlm_control,5,M05,0.04189987073335049,0.1591650652560234,0.03880865377896233,0.022415993215574994
mlm_control,5,M06,0.02358326944123722,0.03400577208775373,0.02312769199414254,0.02211703434525867
mlm_control,5,M07,0.01319709110120496,-0.01654485616079798,0.012983224559470471,0.02143181178274903
mlm_control,5,M08,0.012044432023781328,-0.07022745626387361,-0.008115074185277267,0.0227103532927922
mlm_control,5,M09,0.052451415215525855,0.17164987783287358,0.01841825869113903,0.051259442361806094
mlm_control,5,M10,0.043665400278991844,0.04690015719587062,0.038031513262168734,0.0453097605878762
mlm_control,6,M01,-0.03998241740601313,-0.036427068088574203,-0.009074160451118526,-0.06502069087690439
mlm_control,6,M02,0.05259453310556364,0.09566193259060343,0.0768268387415498,0.012671946424633592
mlm_control,6,M03,0.014102985551926283,0.029176984989841843,0.006853487623091386,0.011574643187162415
mlm_control,6,M04,0.057962375194317316,0.1251762338732199,0.08443555723165203,0.024627508386103333
mlm_control,6,M05,0.05239280017052873,0.13923722557588988,0.042117633432766886,0.043421455354957665
mlm_control,6,M06,0.029371198215081013,0.028407097830726497,0.028487028423966568,0.030223865835332087
mlm_control,6,M07,0.01589429105043286,-0.004632367887772256,0.011789827375000053,0.02404467077457392
mlm_control,6,M08,0.021181322338792843,-0.07536473979674842,-0.005348640333523689,0.0411826034294183
mlm_control,6,M09,0.04767393535631416,0.15360293599534572,0.012260551662794165,0.05097648434717109
mlm_control,6,M10,0.03551282205571979,0.04208780169635778,0.031620989131703664,0.03564750576599578
mlm_control,7,M01,-0.039073843662879464,-0.01950437370486798,-0.011611274838379735,-0.06462222754783278
mlm_control,7,M02,0.05316631088027936,0.10272355034676427,0.07435076851263854,0.012907392226670684
mlm_control,7,M03,0.011971027839971905,0.018417586163516905,-0.0020567312314560765,0.014790648293774416
mlm_control,7,M04,0.061778873493917405,0.12454311929583921,0.07747988594819034,0.03616209147318726
mlm_control,7,M05,0.05382331976379179,0.13387181803794024,0.05063982518881719,0.04026847840451448
mlm_control,7,M06,0.022464677059807595,0.012073970968383373,0.020461275061401284,0.02522109107311202
mlm_control,7,M07,0.017627011283935203,0.028435283149938144,0.01741123579084753,0.01927133013263468
mlm_control,7,M08,0.02677514532858005,-0.06994331578145457,0.008856676350777635,0.03923860465671009
mlm_control,7,M09,0.04781883177721221,0.1307571705628689,0.004471861519391117,0.05851043350166355
mlm_control,7,M10,0.043944036173888285,0.028296902086635916,0.029638782215187846,0.0544130173666314
mlm_control,8,M01,-0.012547013832484088,-0.0014482458143509759,0.0113670607738379,-0.0361256305257622
mlm_control,8,M02,0.06113343355788072,0.08404260115080214,0.06753624743437141,0.02632969635081011
mlm_control,8,M03,0.00850984398325211,0.005276623782432946,-0.010880559690689769,0.01456584937193113
mlm_control,8,M04,0.056957458659584,0.13603148491993192,0.05628371565600897,0.03918519740327202
mlm_control,8,M05,0.05940321839120402,0.1252847694872522,0.04616166693465172,0.05267643875787175
mlm_control,8,M06,0.031100541984036296,0.03407936380864824,0.026028413402819407,0.033804120483436007
mlm_control,8,M07,0.025774054070668875,0.042467654210403404,0.03096320668142238,0.0244542714160331
mlm_control,8,M08,0.03965813489531533,-0.0634195875425316,0.009424211410124873,0.05916094150396191
mlm_control,8,M09,0.031259679044839686,0.10713163835284108,-0.021864481147246557,0.046397289643119156
mlm_control,8,M10,0.03810475502830255,-0.015441865750078117,0.0041722279040755,0.06762752868232247
mlm_control,9,M01,0.010583971916706203,0.008888815925148055,0.025760025217827727,-0.008389980938866478
mlm_control,9,M02,0.088514409659694,0.1015744747256266,0.09925824398116298,0.03798943838682322
mlm_control,9,M03,0.004692172166525238,0.001047837201005965,-0.02138246372509344,0.00866059303441445
mlm_control,9,M04,0.06712526632467498,0.12054106221023811,0.0541235886303749,0.05941309115595682
mlm_control,9,M05,0.04463947210861046,0.10339111446744317,0.02483395798324903,0.03722591521078545
mlm_control,9,M06,0.02628093151706045,0.013652378357659156,0.006606144859526112,0.04128212936596267
mlm_control,9,M07,0.013248205729528442,0.07773676313743921,0.030897403142016437,0.0004088674616565142
mlm_control,9,M08,0.056655478791955746,-0.041324245166531326,0.021831145471207687,0.06976938197539272
mlm_control,9,M09,0.02791058518992373,0.05144575561926355,-0.034746105518452086,0.04791556036494502
mlm_control,9,M10,0.042351510913790545,-0.05718005143451837,-0.010470242551264322,0.09118636928275778
mlm_control,10,M01,0.015493823821295783,0.018231526164940927,0.03421484944792901,-0.008578289485798139
mlm_control,10,M02,0.09614138153902446,0.08243448112266111,0.09866726949528519,0.0366411266579678
